id,nation,resid,age,income,educ,occup,gender,area,nation_o,resid_o
1061143,70,54,5,7,2,1,1,1,75,54
1061144,2,3,3,4,2,5,2,1,2,3
1061145,60,60,4,7,2,1,1,1,60,60
1061146,2,2,3,2,2,2,2,1,2,2
1061147,1,1,2,4,1,2,1,1,1,1
1061148,1,1,3,6,3,2,1,1,1,1
1061149,1,1,3,5,2,4,2,1,1,1
1061150,2,2,4,2,2,4,2,1,2,2
1061151,1,1,3,5,3,2,1,1,1,1
1061152,2,2,3,3,2,4,2,1,2,2
1061153,1,1,4,5,1,5,1,1,1,1
1061154,2,2,2,5,2,2,2,1,2,2
1061155,1,1,4,5,2,4,2,1,1,1
1061156,1,1,2,8,2,11,1,1,1,1
1061157,1,1,4,8,1,10,2,1,1,1
1061158,51,51,3,5,2,2,1,1,51,51
1061159,51,51,1,8,1,11,1,1,51,51
1061160,1,1,4,4,2,4,2,1,1,1
1061161,2,2,2,8,2,11,2,1,2,2
1061162,1,1,4,5,1,2,2,1,1,1
1061163,1,1,3,2,2,4,2,1,1,1
1061164,1,1,4,4,1,4,2,1,1,1
1061165,1,1,2,8,2,11,2,1,1,1
1061166,1,1,4,7,3,1,1,1,1,1
1061167,51,51,2,5,2,4,2,1,51,51
1061168,51,51,5,7,3,2,1,1,51,51
1061169,2,2,4,2,2,4,2,1,2,2
1061170,2,2,2,3,2,1,1,1,2,2
1061171,2,2,2,3,2,2,1,1,2,2
1061172,2,2,2,3,2,4,2,1,2,2
1061173,1,1,5,5,2,4,1,1,1,1
1061174,1,1,4,6,1,2,1,1,1,1
1061175,1,1,2,8,2,11,1,1,1,1
1061176,1,1,5,6,1,2,1,1,1,1
1061177,1,1,4,5,2,1,1,1,1,1
1061178,1,1,3,6,3,4,1,1,1,1
1061179,1,1,3,5,2,4,1,1,1,1
1061180,1,1,6,7,1,1,1,1,1,1
1061181,1,1,2,5,2,2,2,1,1,1
1061182,1,1,3,5,2,1,1,1,1,1
1061183,1,1,3,5,2,4,2,1,1,1
1061184,1,1,3,5,2,4,1,1,1,1
1061185,1,1,3,5,2,4,1,1,1,1
1061186,2,2,4,3,1,1,2,1,2,2
1061187,2,2,5,1,1,12,2,1,2,2
1061188,2,2,6,1,1,12,1,1,2,2
1061189,2,2,6,1,2,12,2,1,2,2
1061190,51,51,2,5,2,1,2,1,51,51
1061191,51,51,2,1,1,3,1,1,51,51
1061192,50,50,4,4,1,5,1,1,50,50
1061193,2,80,2,4,3,2,2,1,2,81
1061194,2,3,4,6,2,1,2,1,2,3
1061195,2,2,3,5,2,1,1,1,2,2
1061196,2,2,3,2,2,5,2,1,2,2
1061197,2,2,3,3,2,2,1,1,2,2
1061198,2,2,6,8,2,7,1,1,2,2
1061199,2,2,3,4,2,1,2,1,2,2
1061200,2,2,4,5,3,5,2,1,2,2
1061201,2,2,3,5,3,2,2,1,2,2
1061202,60,60,5,7,3,2,1,1,60,60
1061203,54,54,4,3,3,1,2,1,54,54
1061204,2,3,2,3,2,5,2,1,2,3
1061205,60,60,6,6,3,2,2,1,60,60
1061206,2,3,4,3,2,2,2,1,2,3
1061207,50,50,3,4,2,1,1,1,50,50
1061208,55,55,3,2,2,5,2,1,55,55
1061209,70,59,2,8,3,2,2,1,72,58
1061210,60,60,5,7,3,1,1,1,60,60
1061211,70,90,5,5,1,3,1,1,75,923
1061212,2,2,2,5,2,2,2,1,2,2
1061213,2,2,2,8,3,11,1,1,2,2
1061214,2,2,3,4,2,1,2,1,2,2
1061215,60,60,2,3,2,9,2,1,60,60
1061216,2,2,4,5,3,2,2,1,2,2
1061217,70,70,3,5,3,2,1,1,79,79
1061218,50,50,2,1,1,5,2,1,50,50
1061219,54,54,3,1,2,4,2,1,54,54
1061220,2,2,3,3,2,5,2,1,2,2
1061221,2,3,3,4,1,5,1,1,2,3
1061222,2,3,4,4,2,2,2,1,2,3
1061223,90,90,4,6,2,1,1,1,921,921
1061224,2,2,5,3,1,5,1,1,2,2
1061225,60,60,2,8,3,11,1,1,60,60
1061226,55,55,4,1,2,5,2,1,55,55
1061227,2,2,3,5,2,1,2,1,2,2
1061228,90,90,4,8,3,2,1,1,923,923
1061229,70,70,3,3,2,1,1,1,75,73
1061230,2,2,2,8,3,5,1,1,2,2
1061231,2,2,5,3,2,5,1,1,2,2
1061232,50,50,3,7,2,1,1,1,50,50
1061233,2,2,5,4,2,5,2,1,2,2
1061234,2,2,3,6,2,1,1,1,2,2
1061235,2,2,3,3,2,2,2,1,2,2
1061236,60,60,5,6,2,2,2,1,60,60
1061237,60,60,6,8,3,12,2,1,60,60
1061238,60,60,3,5,2,2,2,1,60,60
1061239,60,60,5,3,3,2,1,1,60,60
1061240,60,60,5,8,1,1,2,1,60,60
1061241,2,3,3,3,1,5,2,1,2,3
1061242,90,3,3,3,2,5,2,1,921,3
1061243,2,3,5,5,2,2,1,1,2,3
1061244,1,54,2,5,2,1,1,1,1,54
1061245,54,54,3,2,3,2,1,1,54,54
1061246,90,53,3,4,2,1,1,1,921,53
1061247,55,55,4,2,1,2,1,1,55,55
1061248,90,90,4,8,3,2,1,1,901,901
1061249,50,50,2,1,2,2,2,1,50,50
1061250,70,70,5,6,2,2,1,1,75,75
1061251,2,2,3,2,2,2,2,1,2,2
1061252,60,60,3,8,3,2,1,1,60,60
1061253,2,2,4,3,2,2,1,1,2,2
1061254,2,2,5,8,1,2,1,1,2,2
1061255,2,2,6,8,1,12,2,1,2,2
1061256,2,3,3,3,2,2,2,1,2,3
1061257,2,2,4,2,2,2,2,1,2,2
1061258,70,70,4,6,2,2,1,1,72,72
1061259,2,2,3,1,2,2,2,1,2,2
1061260,90,90,6,8,2,1,2,1,921,921
1061261,2,3,2,8,2,2,1,1,2,3
1061262,53,53,3,5,2,2,2,1,53,53
1061263,70,70,4,5,3,2,1,1,79,76
1061264,54,54,2,8,2,1,1,1,54,54
1061265,54,54,2,3,3,1,2,1,54,54
1061266,70,70,4,6,2,2,1,1,72,73
1061267,90,90,5,3,3,2,2,1,925,925
1061268,2,3,4,5,2,2,1,1,2,3
1061269,2,2,4,1,1,2,1,1,2,2
1061270,2,60,4,8,3,2,2,1,2,60
1061271,2,2,3,8,2,10,2,1,2,2
1061272,2,3,5,3,1,5,2,1,2,3
1061273,2,2,7,8,2,12,2,1,2,2
1061274,2,3,7,8,1,12,1,1,2,3
1061275,2,2,2,3,2,2,2,1,2,2
1061276,2,2,4,8,2,1,1,1,2,2
1061277,2,2,3,3,2,1,1,1,2,2
1061278,2,2,3,8,1,10,2,1,2,2
1061279,2,2,4,2,2,2,2,1,2,2
1061280,70,70,3,4,3,1,1,1,79,79
1061281,70,70,5,5,2,3,1,1,79,79
1061282,1,1,2,8,2,11,2,1,1,1
1061283,1,1,2,8,2,11,2,1,1,1
1061284,1,1,2,4,1,4,2,1,1,1
1061285,1,1,2,8,2,11,2,1,1,1
1061286,1,1,7,8,1,12,1,1,1,1
1061287,2,2,4,3,2,5,1,1,2,2
1061288,2,2,5,8,1,10,2,1,2,2
1061289,2,2,2,8,2,11,2,1,2,2
1061290,2,2,4,3,3,3,2,1,2,2
1061291,1,1,2,8,2,11,2,1,1,1
1061292,1,1,2,8,2,11,1,1,1,1
1061293,1,1,2,4,2,2,1,1,1,1
1061294,51,51,3,5,2,1,1,1,51,51
1061295,51,51,3,4,3,1,2,1,51,51
1061296,1,1,5,4,1,1,1,1,1,1
1061297,1,1,5,6,2,1,1,1,1,1
1061298,1,1,2,5,2,4,1,1,1,1
1061299,1,1,3,4,3,4,2,1,1,1
1061300,1,1,5,5,1,4,1,1,1,1
1061301,2,2,4,2,2,2,1,1,2,2
1061302,2,2,2,2,2,2,2,1,2,2
1061303,1,1,7,8,1,10,2,1,1,1
1061304,1,1,2,4,2,4,2,1,1,1
1061305,1,1,2,8,2,11,2,1,1,1
1061306,2,2,3,3,2,1,2,1,2,2
1061307,1,1,6,8,3,10,2,1,1,1
1061308,1,1,6,8,2,12,1,1,1,1
1061309,51,51,6,8,1,12,2,1,51,51
1061310,51,51,5,5,1,8,1,1,51,51
1061311,2,2,3,3,2,1,2,1,2,2
1061312,50,50,6,8,1,12,2,1,50,50
1061313,50,50,1,8,1,11,2,1,50,50
1061314,50,50,3,1,1,5,2,1,50,50
1061315,50,50,4,1,3,4,2,1,50,50
1061316,2,2,4,99,2,2,2,1,2,2
1061317,50,50,2,1,2,11,2,1,50,50
1061318,4,4,3,2,2,5,2,1,4,4
1061319,90,3,1,8,2,11,2,1,921,3
1061320,4,4,3,8,2,2,2,1,4,4
1061321,4,4,2,3,3,3,1,1,4,4
1061322,50,50,2,2,1,5,1,1,50,50
1061323,50,50,2,1,2,2,2,1,50,50
1061324,2,2,6,8,2,12,2,1,2,2
1061325,2,2,4,2,2,2,1,1,2,2
1061326,2,2,5,8,2,12,2,1,2,2
1061327,2,2,3,3,2,2,2,1,2,2
1061328,60,60,3,4,2,2,1,1,60,60
1061329,2,2,5,8,2,12,2,1,2,2
1061330,2,2,4,2,1,5,2,1,2,2
1061331,70,70,3,5,2,3,2,1,71,71
1061332,2,3,4,4,2,2,1,1,2,3
1061333,60,60,5,6,3,2,1,1,60,60
1061334,2,3,2,2,2,2,2,1,2,3
1061335,53,53,2,1,2,2,2,1,53,53
1061336,55,55,2,8,2,2,2,1,55,55
1061337,55,55,2,8,2,11,1,1,55,55
1061338,2,2,4,4,3,2,2,1,2,2
1061339,50,50,3,2,2,5,1,1,50,50
1061340,2,3,5,4,1,12,2,1,2,3
1061341,2,3,4,3,2,5,2,1,2,3
1061342,60,60,5,6,3,2,1,1,60,60
1061343,70,70,4,6,3,1,2,1,79,79
1061344,2,2,3,4,2,5,1,1,2,2
1061345,2,2,3,7,2,1,2,1,2,2
1061346,90,90,2,6,1,2,1,1,921,922
1061347,2,2,2,8,2,11,1,1,2,2
1061348,2,2,3,4,2,2,2,1,2,2
1061349,2,2,3,3,1,3,1,1,2,2
1061350,55,55,2,2,3,7,1,1,55,55
1061351,60,60,2,5,2,2,1,1,60,60
1061352,2,2,6,1,1,12,1,1,2,2
1061353,2,2,3,4,2,2,2,1,2,2
1061354,2,2,5,8,2,12,2,1,2,2
1061355,2,2,7,1,99,5,1,1,2,2
1061356,2,3,6,4,2,2,1,1,2,3
1061357,2,3,6,8,1,12,1,1,2,3
1061358,51,51,5,6,2,4,2,1,51,51
1061359,1,1,6,5,2,12,1,1,1,1
1061360,1,1,4,5,2,4,2,1,1,1
1061361,1,1,4,5,2,4,2,1,1,1
1061362,1,1,3,5,1,5,2,1,1,1
1061363,1,1,6,5,1,5,2,1,1,1
1061364,1,1,4,4,1,1,2,1,1,1
1061365,1,1,3,4,99,4,2,1,1,1
1061366,1,1,2,5,2,2,2,1,1,1
1061367,50,50,3,2,2,2,1,1,50,50
1061368,50,50,3,1,2,2,2,1,50,50
1061369,54,54,2,2,2,2,2,1,54,54
1061370,2,2,7,8,2,12,2,1,2,2
1061371,2,2,5,2,1,2,2,1,2,2
1061372,2,2,2,8,2,11,2,1,2,2
1061373,2,2,4,5,2,2,1,1,2,2
1061374,60,60,7,8,2,12,1,1,60,60
1061375,2,2,6,8,1,12,2,1,2,2
1061376,2,2,6,8,3,12,2,1,2,2
1061377,60,60,4,6,3,2,1,1,60,60
1061378,2,3,6,8,2,12,2,1,2,3
1061379,2,3,3,3,2,2,1,1,2,3
1061380,53,53,5,3,3,1,2,1,53,53
1061381,55,55,3,1,2,5,2,1,55,55
1061382,2,3,3,2,2,2,1,1,2,3
1061383,70,70,2,8,2,2,1,1,72,72
1061384,2,2,6,8,1,12,1,1,2,2
1061385,2,2,2,8,2,11,2,1,2,2
1061386,2,2,4,8,1,2,1,1,2,2
1061387,2,2,3,8,2,2,2,1,2,2
1061388,60,60,3,5,2,2,1,1,60,60
1061389,2,3,3,8,2,2,2,1,2,3
1061390,52,52,2,1,2,2,2,1,52,52
1061391,53,53,3,8,2,2,2,1,53,53
1061392,2,2,4,4,3,2,1,1,2,2
1061393,2,2,3,3,2,2,2,1,2,2
1061394,60,60,4,6,2,2,1,1,60,60
1061395,90,90,6,6,2,2,1,1,921,921
1061396,50,50,4,3,1,2,2,1,50,50
1061397,51,51,2,8,1,11,2,1,51,51
1061398,51,51,7,4,1,3,1,1,51,51
1061399,51,51,5,8,1,12,2,1,51,51
1061400,4,4,6,8,2,12,2,1,4,4
1061401,4,4,5,5,2,5,1,1,4,4
1061402,4,4,4,8,1,10,2,1,4,4
1061403,4,4,5,7,2,1,1,1,4,4
1061404,2,2,2,1,3,3,2,1,2,2
1061405,4,4,5,5,1,4,1,1,4,4
1061406,51,51,5,6,2,5,1,1,51,51
1061407,2,2,6,8,2,12,1,1,2,2
1061408,2,2,3,1,2,2,2,1,2,2
1061409,2,2,4,6,3,2,1,1,2,2
1061410,2,3,2,2,1,3,2,1,2,3
1061411,1,1,2,8,2,11,1,1,1,1
1061412,1,1,2,3,2,4,2,1,1,1
1061413,1,1,7,3,2,12,1,1,1,1
1061414,1,1,5,3,2,4,2,1,1,1
1061415,1,1,5,3,2,4,2,1,1,1
1061416,1,1,2,8,2,11,1,1,1,1
1061417,1,1,6,5,1,1,1,1,1,1
1061418,1,1,6,3,2,12,1,1,1,1
1061419,1,1,2,8,2,11,2,1,1,1
1061420,51,51,5,6,3,2,1,1,51,51
1061421,51,51,3,3,1,3,2,1,51,51
1061422,2,2,2,3,2,2,1,1,2,2
1061423,2,2,3,3,2,1,2,1,2,2
1061424,2,2,4,3,2,2,1,1,2,2
1061425,2,2,4,3,2,2,2,1,2,2
1061426,1,1,7,8,1,10,2,1,1,1
1061427,1,1,4,8,1,1,1,1,1,1
1061428,1,1,6,8,1,10,2,1,1,1
1061429,1,1,7,8,1,12,1,1,1,1
1061430,2,2,6,8,1,12,2,1,2,2
1061431,1,1,2,8,1,4,2,1,1,1
1061432,51,51,4,8,2,4,2,1,51,51
1061433,51,51,6,8,1,10,2,1,51,51
1061434,1,1,7,8,1,10,2,1,1,1
1061435,2,2,4,8,2,10,2,1,2,2
1061436,2,3,4,5,2,1,1,1,2,3
1061437,2,3,3,8,2,1,1,1,2,3
1061438,2,2,5,8,1,10,2,1,2,2
1061439,2,2,4,2,2,4,2,1,2,2
1061440,2,3,6,8,1,10,2,1,2,3
1061441,4,4,6,8,1,10,2,1,4,4
1061442,2,3,2,1,2,3,2,1,2,3
1061443,4,4,2,4,2,2,1,1,4,4
1061444,4,4,3,5,3,2,1,1,4,4
1061445,4,4,2,8,3,11,1,1,4,4
1061446,4,4,2,4,2,2,2,1,4,4
1061447,4,4,6,3,3,2,2,1,4,4
1061448,4,4,5,8,1,5,1,1,4,4
1061449,4,4,4,5,3,2,2,1,4,4
1061450,4,4,5,7,3,1,1,1,4,4
1061451,4,4,5,4,2,2,2,1,4,4
1061452,2,3,5,4,1,2,1,1,2,3
1061453,4,4,4,3,2,2,2,1,4,4
1061454,50,50,4,1,1,7,2,1,50,50
1061455,4,4,3,4,2,3,1,1,4,4
1061456,4,4,2,5,3,99,2,1,4,4
1061457,4,4,5,2,2,5,2,1,4,4
1061458,4,4,5,2,1,5,1,1,4,4
1061459,4,4,3,3,1,5,2,1,4,4
1061460,4,4,2,8,2,11,1,1,4,4
1061461,4,4,3,99,2,2,2,1,4,4
1061462,4,4,3,7,2,3,2,1,4,4
1061463,4,4,3,1,2,5,2,1,4,4
1061464,4,4,3,5,3,2,1,1,4,4
1061465,4,4,3,4,2,5,1,1,4,4
1061466,4,4,2,99,2,4,2,1,4,4
1061467,4,4,2,8,2,11,1,1,4,4
1061468,4,4,4,4,2,4,1,1,4,4
1061469,4,4,2,8,2,11,2,1,4,4
1061470,4,4,2,3,2,4,2,1,4,4
1061471,51,51,5,3,2,2,2,1,51,51
1061472,50,50,3,2,2,2,1,1,50,50
1061473,50,50,3,1,2,5,2,1,50,50
1061474,2,2,7,8,2,12,2,1,2,2
1061475,2,2,6,8,2,12,2,1,2,2
1061476,2,2,4,3,2,2,1,1,2,2
1061477,2,2,1,1,1,11,2,1,2,2
1061478,2,3,5,8,2,10,2,1,2,3
1061479,2,2,3,2,2,2,2,1,2,2
1061480,90,90,3,4,2,2,1,1,921,921
1061481,60,60,4,4,2,2,1,1,60,60
1061482,2,2,7,8,2,12,2,1,2,2
1061483,2,2,2,8,2,11,2,1,2,2
1061484,55,55,5,3,3,2,1,1,55,55
1061485,55,55,4,3,2,3,1,1,55,55
1061486,60,60,4,6,3,2,1,1,60,60
1061487,55,55,5,8,1,10,2,1,55,55
1061488,55,55,6,8,1,10,2,1,55,55
1061489,52,52,2,8,1,13,2,1,52,52
1061490,54,54,5,8,1,10,2,1,54,54
1061491,54,54,3,8,1,10,2,1,54,54
1061492,2,3,3,8,2,5,1,1,2,3
1061493,2,3,3,3,1,2,2,1,2,3
1061494,1,1,7,8,1,12,1,1,1,1
1061495,1,1,7,8,1,10,2,1,1,1
1061496,2,3,7,8,1,12,1,1,2,3
1061497,54,54,3,3,2,1,1,1,54,54
1061498,2,3,7,8,2,12,1,1,2,3
1061499,2,3,5,99,1,12,1,1,2,3
1061500,1,1,4,4,2,1,1,1,1,1
1061501,1,1,7,8,1,12,1,1,1,1
1061502,4,4,5,2,3,1,1,1,4,4
1061503,4,4,3,5,2,4,2,1,4,4
1061504,2,3,3,8,2,10,2,1,2,3
1061505,2,3,5,6,2,2,2,1,2,3
1061506,2,2,3,3,2,1,2,1,2,2
1061507,2,2,5,3,2,2,2,1,2,2
1061508,2,2,4,2,2,2,2,1,2,2
1061509,2,2,4,1,2,1,1,1,2,2
1061510,2,2,5,1,1,5,2,1,2,2
1061511,2,2,5,1,1,5,2,1,2,2
1061512,2,2,2,1,2,5,2,1,2,2
1061513,2,2,5,8,1,12,2,1,2,2
1061514,2,3,2,3,3,1,1,1,2,3
1061515,2,3,6,2,1,5,1,1,2,3
1061516,2,3,4,2,2,3,2,1,2,3
1061517,2,3,4,1,1,5,2,1,2,3
1061518,1,1,6,8,1,10,2,1,1,1
1061519,1,1,5,5,2,2,2,1,1,1
1061520,1,1,2,5,2,4,1,1,1,1
1061521,1,1,3,4,1,2,2,1,1,1
1061522,1,1,3,5,1,1,2,1,1,1
1061523,1,1,5,8,2,10,2,1,1,1
1061524,1,1,5,6,2,4,1,1,1,1
1061525,1,1,5,5,2,2,2,1,1,1
1061526,1,1,1,8,1,11,2,1,1,1
1061527,51,51,4,3,2,2,1,1,51,51
1061528,51,51,3,6,2,2,2,1,51,51
1061529,2,2,3,2,2,3,2,1,2,2
